Removed Pin From Net: NetName=NetU6_3 Pin=U?-39
Added Pin To Net: NetName=NetU6_4 Pin=U?-4
Added Pin To Net: NetName=NetU6_5 Pin=U?-5
Added Pin To Net: NetName=NetU6_6 Pin=U?-6
Added Pin To Net: NetName=NetU6_7 Pin=U?-7
Added Pin To Net: NetName=NetU6_15 Pin=U?-8
Added Pin To Net: NetName=NetU6_8 Pin=U?-12
Added Pin To Net: NetName=NetU6_3 Pin=U?-15
Added Pin To Net: NetName=NetU6_9 Pin=U?-17
Added Pin To Net: NetName=NetU6_10 Pin=U?-18
Added Pin To Net: NetName=NetU6_11 Pin=U?-19
Added Pin To Net: NetName=NetU6_12 Pin=U?-20
Added Pin To Net: NetName=NetU6_13 Pin=U?-21
Added Pin To Net: NetName=NetU6_14 Pin=U?-22
